arch,x,n,m,delta,sorting,server,client
Threaded,15,1000,3,0,7,9,562
Threaded,15,1000,3,300,2,3,4333
Threaded,15,1000,3,600,2,3,8524
Threaded,15,1000,3,900,2,2,12691
Threaded,15,1000,3,1200,3,3,16888
Threaded,15,1000,3,1500,2,3,21095
Threaded,15,1000,3,1800,2,2,25287
Threaded,15,1000,3,2100,2,3,29481
Threaded,15,1000,3,2400,2,3,33692
Threaded,15,1000,3,2700,2,3,37878
Threaded,15,1000,3,3000,2,2,42071
